,,,birth,hght,wght,,clothes,air rifle,hand,sight raise,glove,3p,hand,sight raise,glove,breaches of rules,
Sergey RICHTER,ISR,M,1989,,78,p,?,W personal,palm,med,hard,,,,,,1
Serhiy KULISH,UKR,M,1993,,,p,?,W LG400,palm bent,med,hard,,,,,,1
Siling YI,CHN,F,1989,165,51,f,korean,F 700,fist,low,hard,Anschutz alu,fist,low,hard,,1
Snjezana PEJCIC,CRO,F,1982,170,66,f,Sauer,,,,,Anschutz (2313?),fist,med,half hard,,1
Sonja PFEILSCHIFTER,GER,F,1971,156,50,f,Kurt Thune,W LG400,fist turned,high,kangaroo,,,,,,1
Soo Kyung KIM,KOR,F,1985,,,f,?,FWB 700,fist,low,hard,,,,,,1
Stine NIELSEN,DEN,F,1991,163,,p,Kurt Thune,FWB 800X,palm,low,kangaroo,,,,,,1
Szu-Wei CHEN,TPE,F,1986,157,49,f,korean,W LG400,fist,high,half hard,,,,,,1
Tao WANG,CHN,M,1982,170,76,f,korean,FWB 700,fist,high,soft,,,,,,1
Tianyou LIU,CHN,M,1982,170,55,p,korean,A 2002?,palm,high,hard,,,,,,1
Toshikazu YAMASHITA,JPN,M,1977,170,68,p,korean,,,,,Anschutz (2313?),palm turned,med,hard,,1
Valerian SAUVEPLANE,FRA,M,1980,180,79,p,Kurt Thune,,,,,Bleiker,palm bent,med,soft,,1
Yanjinlkham OLZVOIBAATAR,MGL,F,1990,160,47,f,korean,,,,,Walter KK 300,fist?,low,soft?,,1
Yifei CAO,CHN,M,1988,,,p,Sauer,FWB 700,palm bent,med,no glove,Anschutz (2313?),palm bent,low,no glove,,1
Yulia KARIMOVA,RUS,F,1994,,,f,Sauer,,,,,Anschutz 1914,fist,low,hard,,1
Ziva DVORSAK,SLO,F,1991,168,,f,Kurt Thune,F 800X,fist,low,half hard?,FWB alu,fist,low,soft?,,1
